Source,Country,Date,Description,Species,Number,"GenBank
accession
numbers",Collection,Locality,Province,"Geographical
region",DDM (Lat),DDM (Lon),Latitude,longitude,Latitude (GPS),Longitude (GPS),Coordinates Inferred,Coordinate system,DNA/No DNA
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles baimaii,1,OL742839,carbon dioxide baited net trap,,Kanchanaburi,Western,,,"14°07'06.2""N","99°01'16.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles baimaii,1,OL742840,carbon dioxide baited net trap,,Kanchanaburi,Western,,,"14°07'06.2""N","99°01'16.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles dirus,1,OL742843,carbon dioxide baited net trap,,Chiang Mai,Northern,,,"18°51'18.5""N","98°42'07.3""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles dirus,1,OL742844,carbon dioxide baited net trap,,Kanchanaburi,Western,,,"14°07'06.2""N","99°01'16.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles dirus,1,OL742845,carbon dioxide baited net trap,,Kanchanaburi,Western,,,"14°07'06.2""N","99°01'16.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles dirus,1,OL742846,carbon dioxide baited net trap,,Kanchanaburi,Western,,,"14°07'06.2""N","99°01'16.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles dirus,1,OL742847,carbon dioxide baited net trap,,Chachoengsao,Eastern,,,"13°30'16.7""N","101°47'09.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles dirus,1,OL742848,carbon dioxide baited net trap,,Chachoengsao,Eastern,,,"13°30'16.7""N","101°47'09.2""E",,,,Free map provided by USGS National Map Viewer,dna PCR
https://doi.org/10.1371/journal.pone.0275090,Thailand,2021,"Adult mosquitoes were captured using the BG-Pro CDC-style mosquito trap (BioGents, Regensburg, Germany), with the BG-lure cartridge (BioGents, Regensburg, Germany) and solid carbon dioxide (dry ice) at night between 6:00 pm and 6:00 am. Mosquito traps were hung above the ground at approximately 1.5 and 10 m of residential houses.",Anopheles nemophilous,1,OL742879,carbon dioxide baited net trap,,Ratchaburi,Western,,,"13°22'33.2""N","99°16'25.9""E",,,,Free map provided by USGS National Map Viewer,dna PCR
http://studentsrepo.um.edu.my/id/eprint/8931,Malaysia,2013-2014,Mosquitos were collected using human landing collections (HLC). Mosquitoes sampling were carried out monthly at all sampling sites for a year from August 2013 to July 2014. Three nights per month of collections were performed at both TD and LL while 2 nights per month in KP. Collections at each site from 1800-0600 hours. Mosquitoes landing on the legs of catchers were captured individually in vials plugged with cotton wool and placed into bags labelled accordingly to the hour and collection sites.,Anopheles balabacensis,479,,outdoor human leg catch,,"Limbuak Laut, Banggi Island",,,,,,7.21584,117.06575,,,no dna
http://studentsrepo.um.edu.my/id/eprint/8931,Malaysia,2013-2014,Mosquitos were collected using human landing collections (HLC). Mosquitoes sampling were carried out monthly at all sampling sites for a year from August 2013 to July 2014. Three nights per month of collections were performed at both TD and LL while 2 nights per month in KP. Collections at each site from 1800-0600 hours. Mosquitoes landing on the legs of catchers were captured individually in vials plugged with cotton wool and placed into bags labelled accordingly to the hour and collection sites.,Anopheles balabacensis,464,,outdoor human leg catch,,"Timbang Dayang, Banggi Island",,,,,,7.15585,117.10292,,,no dna
